user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,coins_balance_scaled,streak_scaled,time_window,sessions_last_7d_norm,exercises_completed_7d_norm,days_since_signup_norm,coins_balance_scaled_norm,streak_scaled_norm,notif_open_rate_30d_norm,motivation_score_norm,activeness_score,churn_risk,propensity_gamification,propensity_learning,propensity_achievement,propensity_social,dominant_drive,segment_id,segment_name
USR_000001,paid,36,18-24,tier2,8,6,26,285,True,True,True,15,0.495,0.75,3.514265301645453,4.754887502163469,late_afternoon,0.3478260869565217,0.3,0.2,0.8834840621980133,0.9270082166367788,0.7304216867469879,0.7777777777777778,0.579,0.3554,0.9052,0.72,0.8667,0.91,social,2,Segment_2
USR_000002,paid,119,25-34,tier2,5,16,22,453,True,False,True,7,0.304,0.65,3.8013875221743656,4.523561956057013,early_morning,0.217391304347826,0.8,0.6611111111111111,0.9556664058649598,0.8819092144288181,0.4427710843373493,0.6666666666666667,0.9227,0.3102,0.9188,0.92,0.8,0.21,learning,2,Segment_2
USR_000003,churned,126,25-34,tier2,0,0,0,5,False,False,True,18,0.111,0.37,1.1132827525593785,0.0,evening,0.0,0.0,0.7,0.2798785760840589,0.0,0.1521084337349397,0.3555555555555556,0.1172,0.8088,0.1399,0.0,0.6133,0.21,achievement,0,Segment_0
USR_000004,inactive,72,35-44,tier2,1,0,0,46,False,False,False,16,0.019,0.1,2.392231208153366,0.0,late_afternoon,0.0434782608695652,0.0,0.4,0.6014054045682358,0.0,0.0135542168674698,0.0555555555555555,0.1287,0.9128,0.3007,0.0,0.0333,0.21,gamification,4,Segment_4
USR_000005,trial,3,25-34,tier2,9,9,5,90,True,True,True,9,0.435,0.51,2.8027545962892497,2.584962500721156,mid_morning,0.391304347826087,0.45,0.0166666666666666,0.7046107233037799,0.5039617607727125,0.6400602409638554,0.5111111111111112,0.763,0.4936,0.6043,0.78,0.7067,0.91,social,1,Segment_1
USR_000006,trial,7,25-34,tier3,4,3,5,21,False,True,True,14,0.495,0.67,1.9205726604783715,2.584962500721156,afternoon,0.1739130434782608,0.15,0.0388888888888888,0.482830745598917,0.5039617607727125,0.7304216867469879,0.688888888888889,0.2994,0.5838,0.4934,0.06,0.8133,0.82,social,3,Segment_3
USR_000007,paid,22,18-24,tier1,7,6,22,139,True,True,True,15,0.483,0.77,3.070415071268953,4.523561956057013,late_afternoon,0.3043478260869565,0.3,0.1222222222222222,0.771900396514905,0.8819092144288181,0.7123493975903614,0.8,0.5529,0.3626,0.8269,0.72,0.88,1.0,social,2,Segment_2
USR_000008,churned,117,25-34,tier2,0,0,0,40,False,False,False,9,0.129,0.39,2.3073720570481235,0.0,mid_morning,0.0,0.0,0.65,0.5800718679402438,0.0,0.1792168674698795,0.3777777777777778,0.1172,0.7974,0.29,0.0,0.2267,0.21,gamification,0,Segment_0
USR_000009,trial,2,25-34,tier2,6,3,7,27,False,False,True,8,0.315,0.86,2.070415071268953,3.0,early_morning,0.2608695652173913,0.15,0.0111111111111111,0.5205010323905325,0.5848770656813589,0.4593373493975903,0.9,0.3458,0.611,0.5527,0.06,0.94,0.21,achievement,5,Segment_5
USR_000010,trial,1,18-24,tier2,4,6,0,84,False,True,True,19,0.268,0.78,2.760374427722588,0.0,evening,0.1739130434782608,0.3,0.0055555555555555,0.6939563758746375,0.0,0.3885542168674699,0.8111111111111111,0.4735,0.5955,0.347,0.12,0.8867,0.91,social,3,Segment_3
USR_000011,paid,101,18-24,tier2,17,16,15,360,True,True,True,15,0.318,0.8,3.658965600870301,4.0,late_afternoon,0.7391304347826086,0.8,0.5611111111111111,0.9198616254117464,0.7798360875751452,0.463855421686747,0.8333333333333334,0.9771,0.2464,0.8498,0.92,0.9,0.91,learning,2,Segment_2
USR_000012,paid,98,25-34,tier1,13,6,26,262,True,True,True,9,0.349,0.84,3.462173960939249,4.754887502163469,mid_morning,0.5652173913043478,0.3,0.5444444444444444,0.8703883322680874,0.9270082166367788,0.5105421686746987,0.8777777777777778,0.7006,0.3268,0.8987,0.72,0.9267,1.0,social,2,Segment_2
USR_000013,churned,54,35-44,tier1,1,0,0,6,True,False,False,6,0.102,0.31,1.2090619551221675,0.0,early_morning,0.0434782608695652,0.0,0.3,0.3039574067046836,0.0,0.1385542168674698,0.2888888888888889,0.1287,0.8249,0.152,0.6,0.1733,0.3,learning,4,Segment_4
