"user_id","segment_id","lifecycle_day","notif_1_template_id","notif_1_time","notif_1_channel","notif_2_template_id","notif_2_time","notif_2_channel","notif_3_template_id","notif_3_time","notif_3_channel","notif_4_template_id","notif_4_time","notif_4_channel","notif_5_template_id","notif_5_time","notif_5_channel","notif_6_template_id","notif_6_time","notif_6_channel","notif_7_template_id","notif_7_time","notif_7_channel","notif_8_template_id","notif_8_time","notif_8_channel","notif_9_template_id","notif_9_time","notif_9_channel"
"USR_000001","2","Day 36","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","evening","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","early_morning","In-App"
"USR_000002","2","Day 119","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","early_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","mid_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","mid_morning","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","late_afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","late_afternoon","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","evening","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App"
"USR_000003","0","Day 126","Inactive_Socialite_Day_1_Unpredictability_T1","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T2","evening","Push","Inactive_Socialite_Day_1_Unpredictability_T3","night","Push","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","early_morning","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","mid_morning","In-App"
"USR_000004","4","Day 72","Dormant_Social_Day_1_Unpredictability_T1","late_afternoon","Push","Dormant_Social_Day_1_Unpredictability_T2","evening","Push","Dormant_Social_Day_1_Unpredictability_T3","evening","Push","Dormant_Social_Day_1_Unpredictability_T4","night","In-App","Dormant_Social_Day_1_Unpredictability_T5","night","In-App","Dormant_Social_Day_1_Unpredictability_T1","night","In-App","Dormant_Social_Day_1_Unpredictability_T2","night","In-App","Dormant_Social_Day_1_Unpredictability_T3","early_morning","In-App","Dormant_Social_Day_1_Unpredictability_T4","early_morning","In-App"
"USR_000005","1","Day 3","Inactive_Social_Learners_Day_1_Social_Influence_T1","mid_morning","Push","Inactive_Social_Learners_Day_1_Social_Influence_T2","mid_morning","Push","Inactive_Social_Learners_Day_1_Social_Influence_T3","afternoon","Push","Inactive_Social_Learners_Day_1_Social_Influence_T4","late_afternoon","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T5","late_afternoon","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T1","evening","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T2","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T3","night","In-App","Inactive_Social_Learners_Day_1_Social_Influence_T4","night","In-App"
"USR_000006","3","Day 7","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","afternoon","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","late_afternoon","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","evening","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","evening","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","early_morning","In-App"
"USR_000007","2","Day 22","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","late_afternoon","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","evening","Push","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T5","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","night","In-App","Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","early_morning","In-App"
"USR_000008","0","Day 117","Inactive_Socialite_Day_1_Unpredictability_T1","mid_morning","Push","Inactive_Socialite_Day_1_Unpredictability_T2","mid_morning","Push","Inactive_Socialite_Day_1_Unpredictability_T3","afternoon","Push","Inactive_Socialite_Day_1_Unpredictability_T4","late_afternoon","In-App","Inactive_Socialite_Day_1_Unpredictability_T5","late_afternoon","In-App","Inactive_Socialite_Day_1_Unpredictability_T1","evening","In-App","Inactive_Socialite_Day_1_Unpredictability_T2","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T3","night","In-App","Inactive_Socialite_Day_1_Unpredictability_T4","night","In-App"
"USR_000009","5","Day 2","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","early_morning","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","mid_morning","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","afternoon","Push","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","afternoon","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T5","late_afternoon","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T1","evening","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T2","evening","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T3","night","In-App","Dormant_Achiever_Day_1_Scarcity_and_Impatience_T4","night","In-App"
"USR_000010","3","Day 1","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","evening","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","night","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","night","Push","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T5","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T1","night","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T2","early_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T3","mid_morning","In-App","Inactive_Socialite_Day_1_Scarcity_and_Impatience_T4","mid_morning","In-App"
