template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate,performance_status
TPL_0001,4,trial,engagement,accomplishment,evening,2011,158,80,0.0788,0.5092,0.0120,NEUTRAL
TPL_0002,4,trial,engagement,accomplishment,evening,1764,340,156,0.1930,0.4609,0.0106,GOOD
TPL_0003,4,trial,engagement,accomplishment,evening,3082,226,30,0.0735,0.1367,0.0243,BAD
TPL_0004,4,trial,engagement,accomplishment,evening,2489,224,75,0.0902,0.3382,0.0143,NEUTRAL
TPL_0005,4,trial,engagement,accomplishment,evening,990,156,95,0.1585,0.6152,0.0058,GOOD
TPL_0006,4,trial,engagement,accomplishment,evening,1566,106,28,0.0682,0.2709,0.0166,NEUTRAL
TPL_0007,4,trial,engagement,accomplishment,evening,2902,203,25,0.0700,0.1263,0.0300,BAD
TPL_0008,4,trial,engagement,accomplishment,evening,4481,1406,845,0.3140,0.6017,0.0026,GOOD
TPL_0009,4,trial,engagement,accomplishment,evening,4214,221,38,0.0525,0.1760,0.0229,BAD
TPL_0010,4,trial,engagement,accomplishment,evening,2014,411,268,0.2041,0.6544,0.0138,GOOD
TPL_0011,4,trial,engagement,accomplishment,evening,4449,1390,873,0.3126,0.6281,0.0106,GOOD
TPL_0012,4,trial,engagement,accomplishment,evening,3174,532,155,0.1678,0.2918,0.0221,NEUTRAL
TPL_0013,4,trial,engagement,accomplishment,evening,3085,776,496,0.2518,0.6398,0.0061,GOOD
TPL_0014,4,trial,engagement,accomplishment,evening,1707,122,48,0.0716,0.3999,0.0186,NEUTRAL
TPL_0015,4,trial,engagement,accomplishment,evening,2472,554,371,0.2245,0.6698,0.0035,GOOD
TPL_0016,4,paid,engagement,accomplishment,evening,3389,901,603,0.2661,0.6694,0.0027,GOOD
TPL_0017,4,paid,engagement,accomplishment,evening,4517,1430,823,0.3167,0.5762,0.0072,GOOD
TPL_0018,4,paid,engagement,accomplishment,evening,1038,166,97,0.1607,0.5864,0.0063,GOOD
TPL_0019,4,paid,engagement,accomplishment,evening,3074,774,516,0.2520,0.6670,0.0079,GOOD
TPL_0020,4,paid,engagement,accomplishment,evening,2516,228,60,0.0909,0.2672,0.0107,NEUTRAL
TPL_0021,4,paid,engagement,accomplishment,evening,3445,925,589,0.2686,0.6375,0.0022,GOOD
TPL_0022,4,paid,engagement,accomplishment,evening,4775,1567,669,0.3282,0.4270,0.0127,GOOD
TPL_0023,4,paid,engagement,accomplishment,evening,888,9,2,0.0108,0.3192,0.0334,BAD
TPL_0024,4,paid,engagement,accomplishment,evening,3164,530,109,0.1676,0.2063,0.0118,NEUTRAL
TPL_0025,4,paid,engagement,accomplishment,evening,4510,1426,587,0.3164,0.4120,0.0027,GOOD
TPL_0026,4,paid,engagement,accomplishment,evening,3250,249,23,0.0767,0.0949,0.0306,BAD
TPL_0027,4,paid,engagement,accomplishment,evening,1561,26,3,0.0172,0.1532,0.0172,BAD
TPL_0028,4,paid,engagement,accomplishment,evening,3473,937,603,0.2699,0.6444,0.0091,GOOD
TPL_0029,4,paid,engagement,accomplishment,evening,1085,13,2,0.0127,0.2283,0.0245,BAD
TPL_0030,4,paid,engagement,accomplishment,evening,2417,537,360,0.2225,0.6706,0.0097,GOOD
TPL_0031,0,churned,engagement,accomplishment,evening,1073,173,105,0.1620,0.6077,0.0050,GOOD
TPL_0032,0,churned,engagement,accomplishment,evening,3121,785,455,0.2518,0.5807,0.0109,GOOD
TPL_0033,0,churned,engagement,accomplishment,evening,4418,240,20,0.0545,0.0852,0.0306,BAD
TPL_0034,0,churned,engagement,accomplishment,evening,2857,197,33,0.0692,0.1711,0.0246,BAD
TPL_0035,0,churned,engagement,accomplishment,evening,3240,247,35,0.0765,0.1449,0.0231,BAD
TPL_0036,0,churned,engagement,accomplishment,evening,4500,248,25,0.0552,0.1038,0.0161,BAD
TPL_0037,0,churned,engagement,accomplishment,evening,3532,289,32,0.0820,0.1129,0.0371,BAD
TPL_0038,0,churned,engagement,accomplishment,evening,3837,187,18,0.0489,0.1010,0.0160,BAD
TPL_0039,0,churned,engagement,accomplishment,evening,4355,1332,885,0.3059,0.6651,0.0127,GOOD
TPL_0040,0,churned,engagement,accomplishment,evening,1818,353,209,0.1947,0.5939,0.0032,GOOD
TPL_0041,0,churned,engagement,accomplishment,evening,4010,1166,516,0.2908,0.4431,0.0041,GOOD
TPL_0042,0,churned,engagement,accomplishment,evening,1988,155,69,0.0783,0.4503,0.0158,NEUTRAL
TPL_0043,0,churned,engagement,accomplishment,evening,4994,1667,819,0.3339,0.4919,0.0052,GOOD
TPL_0044,0,churned,engagement,accomplishment,evening,900,9,1,0.0110,0.1430,0.0178,BAD
TPL_0045,0,churned,engagement,accomplishment,evening,4948,294,56,0.0595,0.1909,0.0229,BAD
TPL_0046,0,inactive,engagement,accomplishment,evening,1011,12,3,0.0120,0.2910,0.0307,BAD
TPL_0047,0,inactive,engagement,accomplishment,evening,1120,184,94,0.1645,0.5131,0.0133,GOOD
TPL_0048,0,inactive,engagement,accomplishment,evening,4858,284,33,0.0587,0.1186,0.0321,BAD
TPL_0049,0,inactive,engagement,accomplishment,evening,3658,664,210,0.1817,0.3176,0.0129,NEUTRAL
TPL_0050,0,inactive,engagement,accomplishment,evening,2555,162,29,0.0634,0.1826,0.0193,BAD
TPL_0051,0,inactive,engagement,accomplishment,evening,1632,29,3,0.0179,0.1085,0.0220,BAD
TPL_0052,0,inactive,engagement,accomplishment,evening,962,11,3,0.0115,0.3077,0.0159,BAD
TPL_0053,0,inactive,engagement,accomplishment,evening,1866,37,4,0.0202,0.1343,0.0288,BAD
TPL_0054,0,inactive,engagement,accomplishment,evening,1170,68,27,0.0588,0.4085,0.0158,NEUTRAL
TPL_0055,0,inactive,engagement,accomplishment,evening,4059,207,21,0.0510,0.1054,0.0224,BAD
TPL_0056,0,inactive,engagement,accomplishment,evening,4475,917,283,0.2050,0.3087,0.0136,NEUTRAL
TPL_0057,0,inactive,engagement,accomplishment,evening,3666,666,203,0.1819,0.3060,0.0201,NEUTRAL
TPL_0058,0,inactive,engagement,accomplishment,evening,1078,61,28,0.0566,0.4623,0.0113,NEUTRAL
TPL_0059,0,inactive,engagement,accomplishment,evening,1897,38,10,0.0204,0.2765,0.0241,BAD
TPL_0060,0,inactive,engagement,accomplishment,evening,4978,297,24,0.0598,0.0816,0.0258,BAD
TPL_0061,3,churned,engagement,accomplishment,evening,3596,979,556,0.2723,0.5681,0.0022,GOOD
TPL_0062,3,churned,engagement,accomplishment,evening,1091,62,33,0.0569,0.5413,0.0190,NEUTRAL
TPL_0063,3,churned,engagement,accomplishment,evening,3248,834,424,0.2571,0.5086,0.0118,GOOD
