user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score
USR_000001,paid,36,18-24,tier2,8,6,26,285,True,True,True,15,0.495,0.75
USR_000002,paid,119,25-34,tier2,5,16,22,453,True,False,True,7,0.304,0.65
USR_000003,churned,126,25-34,tier2,0,0,0,5,False,False,True,18,0.111,0.37
USR_000004,inactive,72,35-44,tier2,1,0,0,46,False,False,False,16,0.019,0.1
USR_000005,trial,3,25-34,tier2,9,9,5,90,True,True,True,9,0.435,0.51
USR_000006,trial,7,25-34,tier3,4,3,5,21,False,True,True,14,0.495,0.67
USR_000007,paid,22,18-24,tier1,7,6,22,139,True,True,True,15,0.483,0.77
USR_000008,churned,117,25-34,tier2,0,0,0,40,False,False,False,9,0.129,0.39
USR_000009,trial,2,25-34,tier2,6,3,7,27,False,False,True,8,0.315,0.86
USR_000010,trial,1,18-24,tier2,4,6,0,84,False,True,True,19,0.268,0.78
USR_000011,paid,101,18-24,tier2,17,16,15,360,True,True,True,15,0.318,0.8
USR_000012,paid,98,25-34,tier1,13,6,26,262,True,True,True,9,0.349,0.84
USR_000013,churned,54,35-44,tier1,1,0,0,6,True,False,False,6,0.102,0.31
USR_000014,trial,6,18-24,tier2,5,6,7,30,False,False,True,20,0.301,0.44
USR_000015,inactive,35,35-44,tier3,0,0,0,18,False,True,False,20,0.069,0.25
USR_000016,paid,79,45+,tier3,12,9,6,403,True,False,True,8,0.267,0.51
USR_000017,inactive,79,25-34,tier1,0,0,0,39,False,False,False,11,0.052,0.21
USR_000018,trial,5,25-34,tier2,11,3,5,18,False,False,True,13,0.38,0.52
USR_000019,trial,1,25-34,tier2,3,3,1,27,False,False,True,8,0.489,0.87
USR_000020,paid,9,45+,tier2,13,10,25,293,False,True,False,16,0.295,0.49
USR_000021,churned,97,18-24,tier2,1,0,0,16,False,False,True,16,0.029,0.12
USR_000022,trial,0,25-34,tier3,4,9,4,90,True,True,False,15,0.16,0.47
USR_000023,inactive,59,35-44,tier3,0,0,0,10,False,False,False,7,0.078,0.22
USR_000024,inactive,17,35-44,tier3,0,0,0,24,False,False,False,7,0.057,0.14
USR_000025,inactive,72,35-44,tier1,0,0,0,22,False,False,False,6,0.06,0.09
USR_000026,paid,76,25-34,tier3,9,4,26,241,True,False,True,17,0.379,0.62
USR_000027,paid,81,25-34,tier2,8,4,15,159,False,True,True,19,0.352,0.73
USR_000028,inactive,29,35-44,tier2,1,0,0,43,False,False,False,13,0.074,0.14
USR_000029,churned,133,18-24,tier2,1,0,0,30,False,False,False,18,0.04,0.23
USR_000030,churned,51,45+,tier3,0,1,0,2,False,False,False,17,0.03,0.11
