"template_id","ucb_score","flag"
"Inactive_Socialite_Day_1_Unpredictability_T1","-1.000000","V0"
"Inactive_Socialite_Day_1_Unpredictability_T2","0.293940","V0"
"Inactive_Socialite_Day_1_Unpredictability_T3","-1.000000","V0"
"Inactive_Socialite_Day_1_Unpredictability_T4","0.242380","V0"
"Inactive_Socialite_Day_1_Unpredictability_T5","0.172630","V0"
"Inactive_Socialite_Day_7_Unpredictability_T1","999.000000","V0"
"Inactive_Socialite_Day_7_Unpredictability_T2","-1.000000","V0"
"Inactive_Socialite_Day_7_Unpredictability_T3","999.000000","V0"
"Inactive_Socialite_Day_7_Unpredictability_T4","0.207835","V0"
"Inactive_Socialite_Day_7_Unpredictability_T5","0.207463","V0"
"Inactive_Socialite_Day_14_Unpredictability_T1","999.000000","V0"
"Inactive_Socialite_Day_14_Unpredictability_T2","0.331666","V0"
"In'active_Socialite_Day_14_Unpredictability_T3","999.000000","V0"
"Inactive_Socialite_Day_14_Unpredictability_T4","999.000000","V0"
"Inactive_Socialite_Day_14_Unpredictability_T5","-1.000000","V0"
"Inactive_Socialite_Day_30_Unpredictability_T1","-1.000000","V0"
"Inactive_Socialite_Day_30_Unpredictability_T2","999.000000","V0"
"Inactive_Socialite_Day_30_Unpredictability_T3","999.000000","V0"
"Inactive_Socialite_Day_30_Unpredictability_T4","0.237114","V0"
"Inactive_Socialite_Day_30_Unpredictability_T5","999.000000","V0"
"Inactive_Social_Learners_Day_1_Social_Influence_T1","0.325166","V0"
"Inactive_Social_Learners_Day_1_Social_Influence_T2","999.000000","V0"
"Inactive_Social_Learners_Day_1_Social_Influence_T3","999.000000","V0"
"Inactive_Social_Learners_Day_1_Social_Influence_T4","999.000000","V0"
"Inactive_Social_Learners_Day_1_Social_Influence_T5","0.173563","V0"
"Inactive_Social_Learners_Day_7_Social_Influence_T1","0.196373","V0"
"Inactive_Social_Learners_Day_7_Social_Influence_T2","0.193829","V0"
"Inactive_Social_Learners_Day_7_Social_Influence_T3","-1.000000","V0"
"Inactive_Social_Learners_Day_7_Social_Influence_T4","999.000000","V0"
"Inactive_Social_Learners_Day_7_Social_Influence_T5","999.000000","V0"
"Inactive_Social_Learners_Day_14_Social_Influence_T1","0.315942","V0"
"Inactive_Social_Learners_Day_14_Social_Influence_T2","999.000000","V0"
"Inactive_Social_Learners_Day_14_Social_Influence_T3","999.000000","V0"
"Inactive_Social_Learners_Day_14_Social_Influence_T4","-1.000000","V0"
"Inactive_Social_Learners_Day_14_Social_Influence_T5","999.000000","V0"
"Inactive_Social_Learners_Day_30_Social_Influence_T1","0.219404","V0"
"Inactive_Social_Learners_Day_30_Social_Influence_T2","999.000000","V0"
"Inactive_Social_Learners_Day_30_Social_Influence_T3","0.343550","V0"
"Inactive_Social_Learners_Day_30_Social_Influence_T4","-1.000000","V0"
"Inactive_Social_Learners_Day_30_Social_Influence_T5","999.000000","V0"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T1","0.269934","V0"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T2","-1.000000","V0"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T3","-1.000000","V0"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T4","-1.000000","V0"
"Paid_Social_Achiever_Week_1_Creativity_and_Feedback_T5","0.263533","V0"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T1","-1.000000","V0"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T2","0.198962","V0"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T3","999.000000","V0"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T4","-1.000000","V0"
"Paid_Social_Achiever_Week_2_Creativity_and_Feedback_T5","0.241067","V0"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T1","-1.000000","V0"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T2","-1.000000","V0"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T3","0.178153","V0"
"Paid_Social_Achiever_Week_4_Creativity_and_Feedback_T4","999.000000","V0"
