user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,coins_balance_scaled,streak_scaled,time_window,sessions_last_7d_norm,exercises_completed_7d_norm,days_since_signup_norm,coins_balance_scaled_norm,streak_scaled_norm,notif_open_rate_30d_norm,motivation_score_norm,activeness_score,churn_risk,propensity_gamification,propensity_learning,propensity_achievement,propensity_social,dominant_drive
USR_000001,paid,36,18-24,tier2,8,6,26,285,True,True,True,15,0.495,0.75,3.5142653016454535,4.754887502163469,late_afternoon,0.34782608695652173,0.3,0.2,0.8834840621980133,0.9270082166367787,0.7304216867469879,0.7777777777777778,0.579,0.3554,0.9052,0.72,0.8667,0.91,social
USR_000002,paid,119,25-34,tier2,5,16,22,453,True,False,True,7,0.304,0.65,3.8013875221743656,4.523561956057013,early_morning,0.21739130434782608,0.8,0.6611111111111111,0.9556664058649598,0.8819092144288181,0.44277108433734935,0.6666666666666667,0.9227,0.3102,0.9188,0.92,0.8,0.21,learning
USR_000003,churned,126,25-34,tier2,0,0,0,5,False,False,True,18,0.111,0.37,1.1132827525593785,0.0,evening,0.0,0.0,0.7,0.27987857608405897,0.0,0.15210843373493976,0.3555555555555556,0.1172,0.8088,0.1399,0.0,0.6133,0.21,achievement
USR_000004,inactive,72,35-44,tier2,1,0,0,46,False,False,False,16,0.019,0.1,2.392231208153366,0.0,late_afternoon,0.043478260869565216,0.0,0.4,0.6014054045682358,0.0,0.013554216867469878,0.055555555555555566,0.1287,0.9128,0.3007,0.0,0.0333,0.21,gamification
USR_000005,trial,3,25-34,tier2,9,9,5,90,True,True,True,9,0.435,0.51,2.8027545962892497,2.584962500721156,mid_morning,0.391304347826087,0.45,0.016666666666666666,0.7046107233037799,0.5039617607727125,0.6400602409638554,0.5111111111111112,0.763,0.4936,0.6043,0.78,0.7067,0.91,social
USR_000006,trial,7,25-34,tier3,4,3,5,21,False,True,True,14,0.495,0.67,1.9205726604783713,2.584962500721156,afternoon,0.17391304347826086,0.15,0.03888888888888889,0.48283074559891703,0.5039617607727125,0.7304216867469879,0.688888888888889,0.2994,0.5838,0.4934,0.06,0.8133,0.82,social
USR_000007,paid,22,18-24,tier1,7,6,22,139,True,True,True,15,0.483,0.77,3.0704150712689535,4.523561956057013,late_afternoon,0.30434782608695654,0.3,0.12222222222222222,0.771900396514905,0.8819092144288181,0.7123493975903614,0.8,0.5529,0.3626,0.8269,0.72,0.88,1.0,social
USR_000008,churned,117,25-34,tier2,0,0,0,40,False,False,False,9,0.129,0.39,2.3073720570481235,0.0,mid_morning,0.0,0.0,0.65,0.5800718679402438,0.0,0.17921686746987953,0.3777777777777778,0.1172,0.7974,0.29,0.0,0.2267,0.21,gamification
USR_000009,trial,2,25-34,tier2,6,3,7,27,False,False,True,8,0.315,0.86,2.0704150712689535,3.0,early_morning,0.2608695652173913,0.15,0.011111111111111112,0.5205010323905325,0.5848770656813589,0.4593373493975903,0.9,0.3458,0.611,0.5527,0.06,0.94,0.21,achievement
USR_000010,trial,1,18-24,tier2,4,6,0,84,False,True,True,19,0.268,0.78,2.760374427722588,0.0,evening,0.17391304347826086,0.3,0.005555555555555556,0.6939563758746375,0.0,0.3885542168674699,0.8111111111111111,0.4735,0.5955,0.347,0.12,0.8867,0.91,social
